code,regency_code,name
110907,1109,TEUPAH SELATAN
110904,1109,SIMEULUE TIMUR
110903,1109,TEUPAH BARAT
110909,1109,TEUPAH TENGAH
110901,1109,SIMEULUE TENGAH
110905,1109,TELUK DALAM
110910,1109,SIMEULUE CUT
110902,1109,SALANG
110906,1109,SIMEULUE BARAT
110908,1109,ALAPAN
111001,1110,PULAU BANYAK
111016,1110,PULAU BANYAK BARAT
111004,1110,SINGKIL
111010,1110,SINGKIL UTARA
111014,1110,KUALA BARU
111002,1110,SIMPANG KANAN
111006,1110,GUNUNG MERIAH
111011,1110,DANAU PARIS
111012,1110,SURO MAKMUR
111013,1110,SINGKOHOR
111009,1110,KOTA BAHARU
110109,1101,TRUMON
110116,1101,TRUMON TIMUR
110118,1101,TRUMON TENGAH
110101,1101,BAKONGAN
110115,1101,BAKONGAN TIMUR
110117,1101,KOTA BAHAGIA
110103,1101,KLUET SELATAN
110114,1101,KLUET TIMUR
110102,1101,KLUET UTARA
110110,1101,PASI RAJA
110113,1101,KLUET TENGAH
110108,1101,TAPAKTUAN
110106,1101,SAMADUA
110107,1101,SAWANG
110105,1101,MEUKEK
110104,1101,LABUHAN HAJI
110111,1101,LABUHAN HAJI TIMUR
110112,1101,LABUHAN HAJI BARAT
110201,1102,LAWE ALAS
110211,1102,BABUL RAHMAH
110215,1102,TANOH ALAS
110202,1102,LAWE SIGALA-GALA
110206,1102,BABUL MAKMUR
110210,1102,SEMADAM
110216,1102,LEUSER
110203,1102,BAMBEL
110209,1102,BUKIT TUSAM
110214,1102,LAWE SUMUR
110204,1102,BABUSSALAM
110208,1102,LAWE BULAN
110205,1102,BADAR
110207,1102,DARUL HASANAH
110212,1102,KETAMBE
110213,1102,DELENG POKHKISEN
110305,1103,SERBAJADI
110320,1103,SIMPANG JERNIH
110324,1103,PEUNARON
110304,1103,BIREM BAYEUN
110308,1103,RANTAU SELAMAT
110319,1103,SUNGAI RAYA
110307,1103,PEUREULAK
110317,1103,PEUREULAK TIMUR
110318,1103,PEUREULAK BARAT
110310,1103,RANTAU PEUREULAK
110303,1103,IDI RAYEUK
110316,1103,PEUDAWA
110315,1103,BANDA ALAM
110314,1103,IDI TUNONG
110321,1103,DARUL IHSAN
110323,1103,IDI TIMUR
110301,1103,DARUL AMAN
110306,1103,NURUSSALAM
110322,1103,DARUL FALAH
110302,1103,JULOK
110313,1103,INDRA MAKMU
110311,1103,PANTE BIDARI
110309,1103,SIMPANG ULIM
110312,1103,MADAT
110401,1104,LINGE
110418,1104,ATU LINTANG
110419,1104,JAGONG JEGET
110408,1104,BINTANG
110417,1104,LAUT TAWAR
110411,1104,KEBAYAKAN
110407,1104,PEGASING
110420,1104,BIES
110403,1104,BEBESEN
110412,1104,KUTE PANANG
110402,1104,SILIH NARA
110410,1104,KETOL
110413,1104,CELALA
110421,1104,RUSIP ANTARA
110501,1105,JOHAN PAHWALAN
110505,1105,SAMATIGA
110506,1105,BUBON
110507,1105,ARONGAN LAMBALEK
110504,1105,WOYLA
110510,1105,WOYLA BARAT
110511,1105,WOYLA TIMUR
110502,1105,KAWAY XVI
110509,1105,MEUREUBO
110508,1105,PANTE CEUREUMEN
110512,1105,PANTON REU
110503,1105,SUNGAI MAS
110601,1106,LHOONG
110602,1106,LHOKNGA
110622,1106,LEUPUNG
110603,1106,INDRAPURI
110616,1106,KOTA COT GLIE
110604,1106,SEULIMEUM
110615,1106,KOTA JANTHO
110614,1106,LEMBAH SEULAWAH
110609,1106,MESJID RAYA
110612,1106,DARUSSALAM
110620,1106,BAITUSSALAM
110611,1106,KUTA BARO
110605,1106,MONTASIK
110623,1106,BLANG BINTANG
110610,1106,INGIN JAYA
110621,1106,KRUENG BARONA JAYA
110606,1106,SUKAMAKMUR
110617,1106,KUTA MALAKA
110618,1106,SIMPANG TIGA
110607,1106,DARUL IMARAH
110619,1106,DARUL KAMAL
110608,1106,PEUKAN BADA
110613,1106,PULO ACEH
110705,1107,GEUMPANG
110727,1107,MANE
110706,1107,GEULUMPANG TIGA
110729,1107,GLUMPANG BARO
110713,1107,MUTIARA
110724,1107,MUTIARA TIMUR
110721,1107,TIRO/TRUSEB
110719,1107,TANGSE
110722,1107,KEUMALA
110731,1107,TITEUE
110717,1107,SAKTI
110711,1107,MILA
110714,1107,PADANG TIJI
110704,1107,DELIMA
110725,1107,GRONG-GRONG
110707,1107,INDRA JAYA
110715,1107,PEUKAN BARO
110708,1107,KEMBANG TANJONG
110718,1107,SIMPANG TIGA
110709,1107,KOTA SIGLI
110716,1107,PIDIE
110703,1107,BATEE
110712,1107,MUARA TIGA
111101,1111,SAMALANGA
111111,1111,SIMPANG MAMPLAM
111108,1111,PANDRAH
111102,1111,JEUNIEB
111112,1111,PEULIMBANG
111103,1111,PEUDADA
111109,1111,JULI
111104,1111,JEUMPA
111113,1111,KOTA JUANG
111114,1111,KUALA
111110,1111,JANGKA
111105,1111,PEUSANGAN
111116,1111,PEUSANGAN SELATAN
111115,1111,PEUSANGAN SIBLAH
111106,1111,MAKMUR
111107,1111,GANDAPURA
111117,1111,KUTA BLANG
110815,1108,SAWANG
110816,1108,NISAM
110827,1108,NISAM ANTARA
110826,1108,BANDA BARO
110803,1108,KUTA MAKMUR
110822,1108,SIMPANG KRAMAT
110811,1108,SYAMTALIRA BAYU
110825,1108,GEUREDONG PASE
110807,1108,MEURAH MULIA
110805,1108,MATANGKULI
110820,1108,PAYA BAKONG
110824,1108,PIRAK TIMUR
110817,1108,COT GIREK
110814,1108,T. JAMBO AYE
110818,1108,LANGKAHAN
110809,1108,SEUNUDDON
110801,1108,BAKTIYA
110819,1108,BAKTIYA BARAT
110804,1108,LHOKSUKON
110812,1108,TANAH LUAS
110821,1108,NIBONG
110808,1108,SAMUDERA
110810,1108,SYAMTALIRA ARON
110813,1108,TANAH PASIR
110823,1108,LAPANG
110806,1108,MUARA BATU
110802,1108,DEWANTARA
111203,1112,MANGGENG
111209,1112,LEMBAH SABIL
111202,1112,TANGAN-TANGAN
111207,1112,SETIA
111201,1112,BLANG PIDIE
111208,1112,JEUMPA
111204,1112,SUSOH
111205,1112,KUALA BATEE
111206,1112,BABAH ROT
111302,1113,KUTAPANJANG
111309,1113,BLANGJERANGO
111301,1113,BLANGKEJEREN
111307,1113,PUTERI BETUNG
111306,1113,BLANGPEGAYON
111305,1113,PINING
111303,1113,RIKIT GAIB
111311,1113,PANTAN CUACA
111304,1113,TERANGUN
111310,1113,TERIPE JAYA
111607,1116,TAMIANG HULU
111610,1116,BANDAR PUSAKA
111606,1116,KEJURUAN MUDA
111611,1116,TENGGULUN
111608,1116,RANTAU
111605,1116,KOTA KUALASINPANG
111604,1116,SERUWAY
111602,1116,BENDAHARA
111609,1116,BANDA MULIA
111603,1116,KARANG BARU
111612,1116,SEKERAK
111601,1116,MANYAK PAYED
111505,1115,DARUL MAKMUR
111509,1115,TRIPA MAKMUR
111501,1115,KUALA
111507,1115,KUALA PESISIR
111508,1115,TADU RAYA
111504,1115,BEUTONG
111510,1115,BEUTONG ATEUH
111502,1115,SEUNAGAN
111506,1115,SUKA MAKMUE
111503,1115,SEUNAGAN TIMUR
111401,1114,TEUNOM
111409,1114,PASIE RAYA
111406,1114,PANGA
111402,1114,KRUENG SABEE
111403,1114,SETIA BHAKTI
111404,1114,SAMPOINIET
111408,1114,DARUL HIKMAH
111405,1114,JAYA
111407,1114,INDRA JAYA
111707,1117,TIMANG GAJAH
111710,1117,GAJAH PUTIH
111701,1117,PINTU RIME GAYO
111705,1117,BUKIT
111706,1117,WIH PESAM
111704,1117,BANDAR
111708,1117,BENER KELIPAH
111703,1117,SYIAH UTAMA
111709,1117,MESIDAH
111702,1117,PERMATA
111801,1118,MEUREUDU
111805,1118,MEURAH DUA
111804,1118,BANDAR DUA
111803,1118,JANGKA BUAYA
111802,1118,ULIM
111808,1118,TRIENGGADENG
111807,1118,PANTERAJA
111806,1118,BANDAR BARU
117103,1171,MEURAXA
117108,1171,JAYA BARU
117107,1171,BANDA RAYA
117101,1171,BAITURRAHMAN
117105,1171,LUENG BATA
117102,1171,KUTA ALAM
117106,1171,KUTA RAJA
117104,1171,SYIAH KUALA
117109,1171,ULEE KARENG
117202,1172,SUKAJAYA
117201,1172,SUKAKARYA
117401,1174,LANGSA TIMUR
117404,1174,LANGSA LAMA
117402,1174,LANGSA BARAT
117405,1174,LANGSA BARO
117403,1174,LANGSA KOTA
117303,1173,BLANG MANGAT
117301,1173,MUARA DUA
117304,1173,MUARA SATU
117302,1173,BANDA SAKTI
117501,1175,SIMPANG KIRI
117502,1175,PENANGGALAN
117503,1175,RUNDENG
117504,1175,SULTAN DAULAT
117505,1175,LONGKIB
120410,1204,IDANOGAWO
120411,1204,BAWOLATO
120427,1204,ULUGAWO
120406,1204,GIDO
120435,1204,SOGAE'ADU
120428,1204,MA'U
